Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e27e9e975681ef924d1344,630bbdba33a8711f454d81d9,APPROVED,Not Applicable,2025-10-05T14:20:34.995000Z,2025-10-05T14:24:02.855000Z,2025-10-05T14:24:04.716000Z,2025-10-05T14:24:06.505886Z,208.0,C4H367G4,5334,57,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
68e27ea1624bd6857e2dd8de,5eb080ccaf87d11143472477,APPROVED,Not Applicable,2025-10-05T14:20:22.941000Z,2025-10-05T14:21:35.637000Z,2025-10-05T14:21:38.273000Z,2025-10-05T14:21:36.365942Z,73.0,C4H367G4,7501,27,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
68e27f059c0d1db3fa10c8ec,646f8a859c69c3cb1d5f08c8,APPROVED,Not Applicable,2025-10-05T14:22:01.665000Z,2025-10-05T14:22:57.161000Z,2025-10-05T14:23:00.440000Z,2025-10-05T14:22:57.939429Z,56.0,C4H367G4,4747,60,Male,Black,United States,United States,United States,English,Yes,Full-Time
68e27f15d42a354daed99fce,62734ce38db73cd5bd81a36f,APPROVED,Not Applicable,2025-10-05T14:22:41.019000Z,2025-10-05T14:24:49.201000Z,2025-10-05T14:24:52.093000Z,2025-10-05T14:24:50.054104Z,129.0,C4H367G4,7088,47,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e27f208333c1678cf03842,5f166d572d167034c572779b,APPROVED,Not Applicable,2025-10-05T14:22:28.062000Z,2025-10-05T14:24:16.904000Z,2025-10-05T14:24:17.980000Z,2025-10-05T14:24:18.708443Z,109.0,C4H367G4,480,23,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
68e27f8c7d097c872b1103fc,66f2180a1707ba50d890518f,APPROVED,Not Applicable,2025-10-05T14:24:21.109000Z,2025-10-05T14:28:05.780000Z,2025-10-05T14:28:06.666000Z,2025-10-05T14:28:07.980832Z,225.0,C4H367G4,2071,55,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e27f9deccc067b20b30996,63616c4bc6ecb76a9f0a5f21,APPROVED,Not Applicable,2025-10-05T14:24:33.291000Z,2025-10-05T14:25:13.219000Z,2025-10-05T14:25:16.611000Z,2025-10-05T14:25:13.913454Z,40.0,C4H367G4,2218,23,Male,White,United States,United States,United States,English,No,Part-Time
68e2805f76084ceb8e3b4dc7,608c451be10e84b9fc005f3e,APPROVED,Not Applicable,2025-10-05T14:27:51.974000Z,2025-10-05T14:30:11.549000Z,2025-10-05T14:30:13.689000Z,2025-10-05T14:30:14.752121Z,140.0,C4H367G4,10075,74,Female,Black,United States,United States,United States,English,No,Part-Time
68e280a4b7a818d84426d362,5fdba0fa8929f002d77a2aef,APPROVED,Not Applicable,2025-10-05T14:28:55.683000Z,2025-10-05T14:30:23.503000Z,2025-10-05T14:30:27.538000Z,2025-10-05T14:30:24.261669Z,88.0,C4H367G4,6638,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e281c785e9824333b47071,66d0e8813c0a69291c362cba,APPROVED,Not Applicable,2025-10-05T14:34:09.427000Z,2025-10-05T14:35:19.540000Z,2025-10-05T14:35:22.354000Z,2025-10-05T14:35:27.573161Z,71.0,C4H367G4,1818,24,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
68e2823ff01309627e58b5f4,5be8a1701664db0001d804f8,APPROVED,Not Applicable,2025-10-05T14:35:52.391000Z,2025-10-05T14:37:17.246000Z,2025-10-05T14:37:18.226000Z,2025-10-05T14:37:23.959127Z,85.0,C4H367G4,6751,56,Female,Mixed,Brazil,United States,United States,English,Yes,Full-Time
68e2833388a48457d5568b07,628a4816764d2f993ee7493d,APPROVED,Not Applicable,2025-10-05T14:39:56.968000Z,2025-10-05T14:42:39.069000Z,2025-10-05T14:42:40.986000Z,2025-10-05T14:42:41.645549Z,163.0,C4H367G4,3808,59,Male,Black,United States,United States,United States,English,No,Full-Time
68e28353b9e0564464022b05,66b923d4eced219e36e74859,APPROVED,Not Applicable,2025-10-05T14:40:24.834000Z,2025-10-05T14:41:21.089000Z,2025-10-05T14:41:22.041000Z,2025-10-05T14:41:22.621876Z,57.0,C4H367G4,26,48,Male,Other,United States,United States,United States,English,No,Full-Time
68e28356d0441a67e1a20cc1,67447a01deb7398581f3b3be,APPROVED,Not Applicable,2025-10-05T14:42:22.659000Z,2025-10-05T14:43:54.561000Z,2025-10-05T14:43:56.595000Z,2025-10-05T14:43:57.238847Z,92.0,C4H367G4,2314,23,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e2840cd48a33db8a40fda0,67d29732f4c73016f59056f6,APPROVED,Not Applicable,2025-10-05T14:43:32.099000Z,2025-10-05T14:48:21.510000Z,2025-10-05T14:48:25.014000Z,2025-10-05T14:48:22.422526Z,290.0,C4H367G4,1286,60,Male,White,United States,United States,United States,English,No,Full-Time
68e2854165d2150f2a3b1180,6719cac14fbd11d878730ecd,APPROVED,Not Applicable,2025-10-05T14:48:46.455000Z,2025-10-05T14:50:08.333000Z,2025-10-05T14:50:11.242000Z,2025-10-05T14:50:09.141649Z,82.0,C4H367G4,807,23,Female,White,United States,United States,United States,English,No,Full-Time
68e2854a74bf553ba8f0457b,65989513640b25ce09300abc,APPROVED,Not Applicable,2025-10-05T14:48:47.057000Z,2025-10-05T14:49:51.224000Z,2025-10-05T14:49:54.580000Z,2025-10-05T14:49:53.336458Z,65.0,C4H367G4,3364,34,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
